epoch,binary_accuracy,loss,lr,val_binary_accuracy,val_loss
0,0.95118091310744324,0.35583504693952539,1.0,0.9999992847442627,0.0051106610024968784
1,0.9520577675273233,0.014975404441158505,1.0,0.9999992847442627,0.0014765020304669937
2,0.95205776710459522,0.013099747782586314,1.0,0.9999992847442627,0.00080442449543625114
3,0.95205776625913929,0.011697957548973355,1.0,0.9999992847442627,0.00031620682566426697
4,0.9520577675273233,0.011251061078031376,1.0,0.9999992847442627,0.00018552522815298289
5,0.95205776625913929,0.011008309413988972,1.0,0.9999992847442627,0.00011247511817297588
6,0.95205776710459522,0.011038923525597804,1.0,0.9999992847442627,9.6214191580656921e-05
7,0.95205776710459522,0.010869474293592267,1.0,0.9999992847442627,8.3081278717145324e-05
8,0.95205776710459522,0.010842873599584187,1.0,0.9999992847442627,6.9671070377808064e-05
9,0.95205776710459522,0.010792044902971495,1.0,0.9999992847442627,5.7512749238715816e-05
10,0.95205776710459522,0.010748837712848954,1.0,0.9999992847442627,4.6433175399821872e-05
11,0.95205776625913929,0.010721991286402097,1.0,0.9999992847442627,4.1344901789367819e-05
12,0.95205776710459522,0.01072113111828093,1.0,0.9999992847442627,3.7635550446187459e-05
13,0.95205776625913929,0.010695456052843005,1.0,0.9999992847442627,3.3364041883032769e-05
14,0.95205776710459522,0.010696939516131203,1.0,0.9999992847442627,3.1717943784315139e-05
15,0.95205776710459522,0.010683421117191885,1.0,0.9999992847442627,2.9210873981355691e-05
16,0.95205776710459522,0.010675953711020382,1.0,0.9999992847442627,2.65172092137315e-05
17,0.95205776710459522,0.01066214821808086,1.0,0.9999992847442627,2.490058286639396e-05
18,0.95205776625913929,0.010670654427866284,1.0,0.9999992847442627,2.4309878669252308e-05
19,0.95205776710459522,0.010623600946464067,0.1,0.9999992847442627,2.4593755370005965e-05
20,0.9520577675273233,0.010618324297782056,0.1,0.9999992847442627,2.4341610818131205e-05
21,0.95205776710459522,0.01061624564898282,0.1,0.9999992847442627,2.4003020371310413e-05
22,0.95205776710459522,0.010614228145963907,0.1,0.9999992847442627,2.3568296698310101e-05
23,0.95205776710459522,0.010611980505037788,0.1,0.9999992847442627,2.3143711587181315e-05
24,0.95205776710459522,0.010610124522704835,0.1,0.9999992847442627,2.2856813302496448e-05
25,0.95205776625913929,0.010608565180376874,0.1,0.9999992847442627,2.2638509350751215e-05
26,0.95205776625913929,0.01060688368855005,0.1,0.9999992847442627,2.2333101272427789e-05
27,0.95205776710459522,0.010605254123104115,0.1,0.9999992847442627,2.1982345060678199e-05
28,0.95205776710459522,0.010603617499876088,0.1,0.9999992847442627,2.1602593066442447e-05
29,0.95205776625913929,0.010602341764726254,0.01,0.9999992847442627,2.1556508969903612e-05
30,0.9520577675273233,0.010602157006502265,0.01,0.9999992847442627,2.1522645329241642e-05
31,0.95205776710459522,0.010601980131610643,0.01,0.9999992847442627,2.1482983356690966e-05
32,0.95205776625913929,0.010601825390053077,0.01,0.9999992847442627,2.14175546716433e-05
33,0.95205776625913929,0.010601644312418688,0.01,0.9999992847442627,2.138988262837908e-05
34,0.95205776710459522,0.010601481266271452,0.01,0.9999992847442627,2.1353160263970494e-05
35,0.95205776625913929,0.010601325592888186,0.01,0.9999992847442627,2.129922722815536e-05
36,0.95205776625913929,0.01060116276405213,0.01,0.9999992847442627,2.1270709112286568e-05
37,0.95205776710459522,0.010601000223287232,0.01,0.9999992847442627,2.1230381995943996e-05
38,0.95205776625913929,0.010600836622386927,0.01,0.9999992847442627,2.120083081535995e-05
39,0.95205776710459522,0.010600708959853699,0.001,0.9999992847442627,2.1197753691618953e-05
40,0.95205776710459522,0.010600692190293673,0.001,0.9999992847442627,2.1194595926014397e-05
41,0.95205776710459522,0.010600676373316468,0.001,0.9999992847442627,2.1191375950972238e-05
42,0.95205776710459522,0.010600660012706542,0.001,0.9999992847442627,2.1188167011132464e-05
43,0.95205776710459522,0.010600643302966756,0.001,0.9999992847442627,2.1185207515372895e-05
44,0.95205776668186726,0.01060062723576885,0.001,0.9999992847442627,2.118139430725326e-05
45,0.9520577675273233,0.010600610804527953,0.001,0.9999992847442627,2.1178439540866143e-05
46,0.95205776710459522,0.010600595390385947,0.001,0.9999992847442627,2.1173266092470536e-05
47,0.95205776710459522,0.010600577963177397,0.001,0.9999992847442627,2.1170457087767622e-05
48,0.95205776710459522,0.010600562841686274,0.001,0.9999992847442627,2.1165605721762405e-05
49,0.95205776668186726,0.010600549260672765,0.0001,0.9999992847442627,2.1165325233596376e-05
50,0.95205776625913929,0.010600547513346385,0.0001,0.9999992847442627,2.1165156795177609e-05
51,0.95205776625913929,0.010600546248116698,0.0001,0.99999928077061973,2.1164970045598846e-05
52,0.95205776625913929,0.010600544787687518,0.0001,0.9999992847442627,2.1164568897802384e-05
53,0.95205776625913929,0.010600543504964572,0.0001,0.9999992847442627,2.1164312784094363e-05
54,0.95205776710459522,0.010600541491343303,0.0001,0.9999992847442627,2.1164160231516385e-05
55,0.95205776625913929,0.010600540455112771,0.0001,0.9999992847442627,2.1163831722030105e-05
56,0.95205776668186726,0.010600538655306611,0.0001,0.9999992847442627,2.1163690568452391e-05
57,0.95205776710459522,0.010600537571188926,0.0001,0.9999992847442627,2.1163440154244504e-05
58,0.95205776710459522,0.010600535602061943,0.0001,0.9999992847442627,2.1163279598113149e-05
59,0.95205776625913929,0.010600534615860071,1e-05,0.9999992847442627,2.1163295726485862e-05
60,0.95205776668186726,0.010600534412958898,1e-05,0.9999992847442627,2.1163312339922413e-05
61,0.95205776625913929,0.010600534637855652,1e-05,0.9999992847442627,2.1163323981454597e-05
62,0.95205776625913929,0.010600534438153838,1e-05,0.9999992847442627,2.1163337805774063e-05
63,0.95205776710459522,0.010600534029913272,1e-05,0.9999992847442627,2.1163346173125319e-05
64,0.95205776710459522,0.010600534046606692,1e-05,0.9999992847442627,2.1163361937700151e-05
65,0.95205776625913929,0.010600534263801767,1e-05,0.9999992847442627,2.1163384856966635e-05
66,0.95205776625913929,0.010600534278960013,1e-05,0.9999992847442627,2.1163400742807425e-05
67,0.95205776625913929,0.010600533680060977,1e-05,0.9999992847442627,2.1163403168126631e-05
68,0.95205776710459522,0.010600533880149811,1e-05,0.9999992847442627,2.1163404380786232e-05
69,0.95205776668186726,0.010600533878227616,1e-06,0.9999992847442627,2.1163408746360801e-05
70,0.95205776625913929,0.010600533881478576,1e-06,0.9999992847442627,2.1163410322818285e-05
71,0.95205776710459522,0.010600533670630612,1e-06,0.9999992847442627,2.1163410565350205e-05
72,0.95205776710459522,0.01060053388421351,1e-06,0.9999992847442627,2.1163416143584375e-05
73,0.95205776710459522,0.010600533464607487,1e-06,0.9999992847442627,2.1163416143584375e-05
74,0.95205776710459522,0.010600533461988658,1e-06,0.9999992847442627,2.1163414930924774e-05
75,0.95205776625913929,0.01060053346343353,1e-06,0.9999992847442627,2.1163415173456693e-05
76,0.95205776710459522,0.010600533885580977,1e-06,0.9999992847442627,2.1163415415988613e-05
77,0.95205776625913929,0.010600533252275951,1e-06,0.9999992847442627,2.1163416628648218e-05
