epoch,loss,lr,val_loss
0,0.16862509826997735,0.001,0.00047078194027697599
1,0.013936153277585211,0.001,3.9427219527158428e-05
2,0.013963055689375383,0.001,7.9780990307443537e-05
3,0.012948471131937917,0.001,8.7049618427336995e-05
4,0.012857064482293123,0.001,9.139672284270349e-06
5,0.012502013410784088,0.001,1.731307487334786e-05
6,0.012416665569241356,0.001,8.222319615644081e-06
7,0.012368628680133418,0.001,2.2962242332545833e-05
8,0.013772232466123554,0.001,3.4212299470024766e-06
9,0.012436734715975938,0.001,4.9584861676802246e-06
10,0.016337536544240208,0.001,2.9591159703013097e-05
11,0.027443845389246813,0.001,0.0017619310521785124
12,0.014887631001554777,0.001,2.5771423679543659e-05
13,0.013214225520160721,0.0001,4.1754885050640611e-05
14,0.012723417861797474,0.0001,4.4923232143233174e-05
15,0.012688981410328103,0.0001,4.5514589640524603e-05
16,0.012669641386851291,0.0001,4.3270696753299693e-05
17,0.012651177155179133,0.0001,4.103805770649126e-05
18,0.012626926378258706,0.0001,3.8887508708285168e-05
19,0.012603291390074777,0.0001,3.7531907528992396e-05
20,0.012576575245355133,0.0001,3.5069801666440417e-05
21,0.012554843088907568,0.0001,3.2559328246861696e-05
22,0.012525127099936131,0.0001,3.0489268159906287e-05
23,0.012510811027658003,1e-05,3.0390303436433896e-05
24,0.012508375155704009,1e-05,3.022468822395981e-05
25,0.012506081388102967,1e-05,3.0185440698039235e-05
26,0.012503637716096916,1e-05,3.0032894632493053e-05
27,0.01250113742400181,1e-05,2.9852329909637638e-05
28,0.012498865425855489,1e-05,2.9769495737172642e-05
29,0.012496388803758371,1e-05,2.9574861266020753e-05
30,0.012493914255730097,1e-05,2.9439095804398811e-05
31,0.012491391673242752,1e-05,2.9219730645252887e-05
32,0.012489115163792249,1e-05,2.911129386008309e-05
33,0.012487610857736527,1e-06,2.9079127570083881e-05
34,0.012487340262136855,1e-06,2.908308306359686e-05
35,0.012487084210515004,1e-06,2.9063113973358138e-05
36,0.01248680045312893,1e-06,2.9043969401822391e-05
37,0.012486530611207223,1e-06,2.9015172419158374e-05
38,0.012486277039769907,1e-06,2.8998838388361037e-05
39,0.012485990227353548,1e-06,2.8977799956919625e-05
40,0.012485708677799688,1e-06,2.8955786210308025e-05
41,0.012485448366405312,1e-06,2.8937081879121251e-05
42,0.012485132107121148,1e-06,2.8913705103116593e-05
43,0.012484938746608297,1e-07,2.8910500088700864e-05
44,0.012484913432319054,1e-07,2.8911103297026404e-05
45,0.012484883679891095,1e-07,2.8909536361166873e-05
46,0.012484860364505843,1e-07,2.890794348786585e-05
47,0.012484826760300173,1e-07,2.8905813271621022e-05
48,0.012484798109864101,1e-07,2.8904432838317007e-05
49,0.012484765613422977,1e-07,2.8902362491525883e-05
