epoch,loss,lr,val_loss
0,0.18724744519495889,1.0,0.0033638050411770371
1,0.018550874105431447,1.0,0.0017490824598267122
2,0.015389845971583797,1.0,0.00091410556773620626
3,0.014632072073141929,1.0,0.00052343847669868008
4,0.01432443898813876,1.0,0.0003943375202562706
5,0.014070807702643105,1.0,0.00034368177947737737
6,0.013859804599903802,1.0,0.0002756116446107626
7,0.013741929592297236,1.0,0.00027559425094003941
8,0.01354069543558881,1.0,0.00021553720400760662
9,0.013330255034846285,1.0,0.00018682044659120342
10,0.013428436307797463,1.0,0.0001745392459898865
11,0.013247077420165315,1.0,0.00012374258518253487
12,0.013125396484686139,1.0,0.00014950643526390195
13,0.013091887605486222,1.0,0.00013580763864152733
14,0.013054167722221482,1.0,0.00011382675510514988
15,0.012964122283644301,1.0,0.00011097788228653371
16,0.012825810932614437,1.0,9.1238847407684831e-05
17,0.012866867605518849,1.0,8.6619847822060555e-05
18,0.012738656049076187,1.0,6.9801964316327397e-05
19,0.012760769375895769,1.0,7.3056697146967053e-05
20,0.012722836264379299,1.0,6.0863929926805817e-05
21,0.012657939243897187,1.0,6.7313347244635224e-05
22,0.012644263166414231,1.0,5.4699308950350518e-05
23,0.012599137904108521,1.0,4.6188550680389993e-05
24,0.012567297014439564,1.0,3.8748372412275201e-05
25,0.012582044822740184,1.0,3.5060256687970256e-05
26,0.012528198309275677,1.0,3.3165520029415571e-05
27,0.0125457509329111,1.0,3.2130963608110899e-05
28,0.012494316808638247,1.0,2.910902553538355e-05
29,0.012499488721621389,1.0,2.7744280812862317e-05
30,0.012438532816589985,0.1,3.0254986703778147e-05
31,0.012412052477313319,0.1,3.0746807169634849e-05
32,0.012407339256903717,0.1,3.0130472634796824e-05
33,0.012403585555358773,0.1,2.9996767683949229e-05
34,0.012402044896634459,0.1,2.9102438188770235e-05
35,0.012397427194380063,0.1,2.8958538251448952e-05
36,0.012394193797902043,0.1,2.8236744145504889e-05
37,0.012392233747523879,0.1,2.8057122781993478e-05
38,0.012389968339967024,0.1,2.7590777913976554e-05
39,0.012388230163316831,0.1,2.6827719359713272e-05
40,0.012384726653421661,0.01,2.670413232408464e-05
41,0.012384303385681788,0.01,2.66223362780659e-05
42,0.012384012234028624,0.01,2.6549114656158905e-05
43,0.01238367592495631,0.01,2.6491146181123674e-05
44,0.012383341658729358,0.01,2.6436722242736177e-05
45,0.01238300099484608,0.01,2.6402818121700145e-05
46,0.012382719795665659,0.01,2.6344358294959362e-05
47,0.012382403650211146,0.01,2.6289887781460469e-05
48,0.01238206725621758,0.01,2.6276480100393571e-05
49,0.012381796453508677,0.01,2.6214445802278207e-05
